time,DeviceID,SumoEdgeID,LaneNO,Volume,Svolume,Mvolume,Lvolume
2026-05-05 13:13:23,VJMHU00,,3,22,13,2,7
2026-05-05 13:13:23,VHWGD60,,0,20,13,0,7
2026-05-05 13:13:23,VHWGD60,,1,10,9,0,1
2026-05-05 13:13:23,VHWGD60,,2,23,22,0,1
2026-05-05 13:13:23,VHWGD60,,3,23,23,0,0
2026-05-05 13:13:23,V03D0G0,,0,103,103,0,0
2026-05-05 13:13:23,V03D0G0,,1,100,95,3,2
2026-05-05 13:13:23,V03D0G0,,2,90,85,2,3
2026-05-05 13:13:23,V03D0G1,,0,68,67,0,1
2026-05-05 13:13:23,V03D0G1,,1,124,118,1,5
2026-05-05 13:13:23,V03D0G1,,2,104,104,0,0
2026-05-05 13:13:23,VI9EM00,,0,28,22,0,6
2026-05-05 13:13:23,VI9EM00,,1,44,21,13,10
2026-05-05 13:13:23,VI9EM00,,2,43,22,17,4
2026-05-05 13:13:23,VI9EM00,,3,46,24,19,3
2026-05-05 13:13:23,VSGRX60,,0,33,26,1,6
2026-05-05 13:13:23,VSGRX60,,1,53,39,5,9
2026-05-05 13:13:23,VMTR600,,0,18,15,1,2
2026-05-05 13:13:23,VMTR600,,1,19,13,2,4
2026-05-05 13:13:23,VN5IG20,,0,50,29,6,15
2026-05-05 13:13:23,VN5IG20,,1,5,3,0,2
2026-05-05 13:13:23,VN5IG20,,2,10,1,9,0
2026-05-05 13:13:23,VN5IG20,,3,48,42,0,6
2026-05-05 13:13:23,VN5IG20,,4,36,14,16,6
2026-05-05 13:13:23,VJHM700,,0,19,16,0,3
2026-05-05 13:13:23,VJHM700,,1,42,23,18,1
2026-05-05 13:13:23,VJHM700,,2,55,24,29,2
2026-05-05 13:13:23,VJHM700,,3,9,7,0,2
2026-05-05 13:13:23,VJHM700,,4,56,30,24,2
2026-05-05 13:13:23,VJHM700,,5,55,28,26,1
2026-05-05 13:13:23,VJHM701,,0,17,15,2,0
2026-05-05 13:13:23,VJHM701,,1,38,29,7,2
2026-05-05 13:13:23,VJHM701,,2,25,19,5,1
2026-05-05 13:13:23,VK6L860,,0,29,26,1,2
2026-05-05 13:13:23,VK6L860,,1,83,22,57,4
2026-05-05 13:13:23,V4NJD00,,0,17,15,1,1
2026-05-05 13:13:23,V4NJD00,,1,18,18,0,0
2026-05-05 13:13:23,V4NJD00,,2,6,4,1,1
2026-05-05 13:13:23,V4NJD00,,3,20,17,2,1
2026-05-05 13:13:23,V1070A1,,0,86,49,30,7
2026-05-05 13:13:23,V1070A1,,1,87,78,7,2
2026-05-05 13:13:23,V42B1E0,,0,116,105,7,4
2026-05-05 13:13:23,V1IUI20,,0,15,8,7,0
2026-05-05 13:13:23,V1IUI20,,1,21,15,2,4
2026-05-05 13:13:23,VIVS602,,0,27,19,4,4
2026-05-05 13:13:23,VIVS602,,1,54,44,9,1
2026-05-05 13:13:23,VIVS602,,2,19,12,7,0
2026-05-05 13:13:23,VIVS602,,3,15,5,0,10
2026-05-05 13:13:23,VIVS602,,4,37,23,3,11
2026-05-05 13:13:23,VIVS602,,5,23,8,7,8
2026-05-05 13:13:23,VH7E720,,0,6,6,0,0
2026-05-05 13:13:23,VH7E720,,1,8,5,0,3
2026-05-05 13:13:23,VH6DG00,,0,45,31,0,14
2026-05-05 13:13:23,VH6DG00,,1,23,13,8,2
2026-05-05 13:13:23,V10D2A0,,0,64,59,0,5
2026-05-05 13:13:23,V9011A0,,0,54,34,15,5
2026-05-05 13:13:23,VJQEB00,,0,15,13,0,2
2026-05-05 13:13:23,VJQEB00,,1,7,6,0,1
2026-05-05 13:13:23,V6350G0,,0,36,34,2,0
2026-05-05 13:13:23,V6350G0,,1,40,39,0,1
2026-05-05 13:13:23,V2120C0,,0,42,41,0,1
2026-05-05 13:13:23,V2120C0,,1,78,72,1,5
2026-05-05 13:13:23,V42B1D0,,0,6,3,2,1
2026-05-05 13:13:23,VINJW00,,0,22,14,1,7
2026-05-05 13:13:23,VINJW00,,1,18,16,1,1
2026-05-05 13:13:23,VINJW00,,2,2,1,0,1
2026-05-05 13:13:23,VINJW00,,3,8,3,5,0
2026-05-05 13:13:23,VINJW00,,4,8,5,3,0
2026-05-05 13:13:23,VINJW00,,5,18,14,4,0
2026-05-05 13:13:23,VNLHV00,,0,10,10,0,0
2026-05-05 13:13:23,VNLHV00,,1,12,12,0,0
2026-05-05 13:13:23,VNLHV00,,2,15,10,0,5
2026-05-05 13:13:23,VNLHV00,,3,44,21,0,23
2026-05-05 13:13:23,VNLHV00,,4,0,0,0,0
2026-05-05 13:13:23,VLNPU40,,0,19,12,7,0
2026-05-05 13:13:23,VLNPU40,,1,26,21,2,3
2026-05-05 13:13:23,VLNPU40,,2,21,20,0,1
2026-05-05 13:13:23,VLNPU40,,3,15,9,6,0
2026-05-05 13:13:23,VSGLN60,,0,43,41,2,0
2026-05-05 13:13:23,VSGLN60,,1,31,28,0,3
2026-05-05 13:13:23,V9FLB00,,0,4,1,0,3
2026-05-05 13:13:23,V9FLB00,,1,15,7,3,5
2026-05-05 13:13:23,VN5IG00,,0,66,28,31,7
2026-05-05 13:13:23,VJHM720,,0,30,30,0,0
2026-05-05 13:13:23,VJHM720,,1,39,36,2,1
2026-05-05 13:13:23,VJHM720,,2,39,30,9,0
2026-05-05 13:13:23,VJHM720,,3,20,17,3,0
2026-05-05 13:13:23,VK8LT20,,0,31,25,6,0
2026-05-05 13:13:23,VK8LT20,,1,59,27,31,1
2026-05-05 13:13:23,VTGFS00,,0,36,21,5,10
2026-05-05 13:13:23,VTGFS00,,1,34,33,0,1
2026-05-05 13:13:23,VTGFS00,,2,50,42,5,3
2026-05-05 13:13:23,VTGFS00,,3,50,46,1,3
2026-05-05 13:13:23,VTGFS00,,4,39,38,0,1
2026-05-05 13:13:23,VLNPF60,,0,38,34,3,1
2026-05-05 13:13:23,VLNPF60,,1,36,19,17,0
2026-05-05 13:13:23,VLNPF60,,2,7,3,3,1
2026-05-05 13:13:23,VLNPF60,,3,7,5,2,0
2026-05-05 13:13:23,VLNPF60,,4,19,11,7,1
2026-05-05 13:13:23,VLNPF60,,5,2,1,1,0
2026-05-05 13:13:23,VMV4U00,,0,5,5,0,0
2026-05-05 13:13:23,VMV4U00,,1,11,7,1,3
2026-05-05 13:13:23,VMV4U00,,2,18,12,4,2
2026-05-05 13:13:23,VMV4U00,,3,17,15,2,0
2026-05-05 13:13:23,VIMNN00,,0,31,24,0,7
2026-05-05 13:13:23,VIMNN00,,1,2,1,1,0
2026-05-05 13:13:23,VQFHV41,,0,13,12,0,1
2026-05-05 13:13:23,VQFHV41,,1,16,15,0,1
2026-05-05 13:13:23,VQFHV41,,2,20,16,1,3
2026-05-05 13:13:23,VQFHV41,,3,17,15,0,2
2026-05-05 13:13:23,V2311G0,,0,40,39,1,0
2026-05-05 13:13:23,V2311G0,,1,51,49,0,2
2026-05-05 13:13:23,VMUGG20,,0,22,19,2,1
2026-05-05 13:13:23,VMUGG20,,1,22,15,4,3
2026-05-05 13:13:23,VMUGG20,,2,12,10,0,2
2026-05-05 13:13:23,VMUGG20,,3,19,11,3,5
2026-05-05 13:13:23,VP8FI21,,0,22,21,0,1
2026-05-05 13:13:23,VP8FI21,,1,66,58,3,5
2026-05-05 13:13:23,VP8FI21,,2,24,20,1,3
2026-05-05 13:13:23,VP8FI21,,3,40,37,0,3
2026-05-05 13:13:23,V3120C0,,0,75,62,2,11
2026-05-05 13:13:23,V3120C0,,1,69,67,1,1
2026-05-05 13:13:23,VQ6WK40,,0,16,5,4,7
2026-05-05 13:13:23,VQ6WK40,,1,23,16,3,4
2026-05-05 13:13:23,VQ6WK40,,2,75,65,3,7
2026-05-05 13:13:23,VQ6WK40,,3,34,24,6,4
2026-05-05 13:13:23,VQ6WK40,,4,50,37,11,2
2026-05-05 13:13:23,VQ6WK40,,5,58,22,32,4
2026-05-05 13:13:23,VXNEV60,,0,0,0,0,0
2026-05-05 13:13:23,VXNEV60,,1,5,5,0,0
2026-05-05 13:13:23,VXNEV60,,2,26,22,2,2
2026-05-05 13:13:23,VXNEV60,,3,10,6,4,0
2026-05-05 13:13:23,VXNEV60,,4,12,12,0,0
2026-05-05 13:13:23,VXNEV60,,5,18,17,0,1
2026-05-05 13:13:23,VI9RW20,,0,4,4,0,0
2026-05-05 13:13:23,VI9RW20,,1,21,15,4,2
2026-05-05 13:13:23,VI9RW20,,2,1,0,1,0
2026-05-05 13:13:23,V8050A0,,0,27,27,0,0
2026-05-05 13:13:23,V8050A0,,1,10,10,0,0
2026-05-05 13:13:23,VLBHN00,,0,18,18,0,0
2026-05-05 13:13:23,VLBHN00,,1,34,33,1,0
2026-05-05 13:13:23,VLBHN00,,2,39,0,17,22
2026-05-05 13:13:23,VLBHN00,,3,75,0,40,35
2026-05-05 13:13:23,V56BU20,,0,51,46,0,5
2026-05-05 13:13:23,V56BU20,,1,39,36,0,3
2026-05-05 13:13:23,V56BU20,,2,31,27,1,3
2026-05-05 13:13:23,VMVUL60,,0,25,25,0,0
2026-05-05 13:13:23,VMVUL60,,1,17,16,1,0
2026-05-05 13:13:23,VMVUL60,,2,8,8,0,0
2026-05-05 13:13:23,VM010A2,,0,30,29,1,0
2026-05-05 13:13:23,VM010A2,,1,40,40,0,0
2026-05-05 13:13:23,VH7EN60,,0,16,16,0,0
2026-05-05 13:13:23,VH7EN60,,1,31,19,10,2
2026-05-05 13:13:23,VB5PL60,,0,62,50,8,4
2026-05-05 13:13:23,VB5PL60,,1,42,34,5,3
2026-05-05 13:13:23,VJGPQ20,,0,22,18,3,1
2026-05-05 13:13:23,VJGPQ20,,1,38,13,22,3
2026-05-05 13:13:23,VWRLS20,,0,12,12,0,0
2026-05-05 13:13:23,VWRLS20,,1,19,15,1,3
2026-05-05 13:13:23,VWRLS20,,2,43,37,4,2
2026-05-05 13:13:23,VWRLS20,,3,2,2,0,0
2026-05-05 13:13:23,VWRLS20,,4,14,9,0,5
2026-05-05 13:13:23,VWRLS20,,5,29,21,0,8
2026-05-05 13:13:23,VJES820,,0,6,6,0,0
2026-05-05 13:13:23,VJES820,,1,20,12,3,5
2026-05-05 13:13:23,VJES820,,2,30,22,5,3
2026-05-05 13:13:23,VJES820,,3,27,15,3,9
